,Unnamed: 0,callDateTime,priority,district,description,callNumber,incidentLocation,location
412,412,2015-07-13 12:44:00,Low,ND,OTHER,P151941386,N CALVERT ST/E 0TH ST,"(39.329218,-76.614966)"
413,413,2015-07-13 12:47:00,Low,SE,INVOL DETENTION,P151941387,3200 EASTERN AV,"(39.2866780,-76.5713550)"
414,414,2015-07-13 12:46:00,Low,ND,FALSE PRETENSE,P151941388,2500 OAKLEY AV,"(39.3492970,-76.6599390)"
415,415,2015-07-13 12:48:00,Medium,SD,SUSPICIOUS PERS,P151941390,1200 CARROLL ST,"(39.2809346,-76.6331825)"
416,416,2015-07-13 12:48:00,Medium,SD,DISORDERLY,P151941391,1700 RUSSELL ST,"(39.2734654,-76.6287554)"
417,417,2015-07-13 12:51:00,Medium,SW,MISSING PERSON,P151941392,3500 EDMONDSON AV,"(39.2943489,-76.6758430)"
418,418,2015-07-13 12:49:00,Medium,SW,FAMILY DISTURB,P151941393,0 S BEECHFIELD AV,"(39.2835597,-76.6932772)"
419,419,2015-07-13 12:49:00,Medium,WD,NARCOTICSOutside,P151941394,W BALTIMORE ST/S CARROLLTON AV,"(39.288622,-76.636736)"
420,420,2015-07-13 12:50:00,Non-Emergency,NW,Repo,P151941395,4500 WENTWORTH RD,"(39.3264230,-76.6951540)"
421,421,2015-07-13 12:51:00,High,SE,SILENT ALARM,P151941396,100 S COLLINGTON AV,"(39.2906773,-76.5861806)"
422,422,2015-07-13 12:51:00,Medium,CD,911/NO  VOICE,P151941397,1100 DRUID HILL AV,"(39.3003914,-76.6265826)"
423,423,2015-07-13 12:47:00,Low,TRU,LARCENY F/AUTO,P151941398,300 W LORRAINE AV,"(39.3199496,-76.6206203)"
424,424,2015-07-13 12:52:00,Medium,NE,911/NO  VOICE,P151941399,5600 LOCH RAVEN BL,"(39.3242589,-76.6009401)"
425,425,2015-07-13 12:50:00,Low,NW,HIT AND RUN,P151941400,3000 FALLSTAFF RD,"(39.3693670,-76.6915461)"
426,426,2015-07-13 12:50:00,Low,SD,FALSE PRETENSE,P151941401,700 WASHINGTON BL,"(39.2834053,-76.6270544)"
427,427,2015-07-13 12:53:00,Medium,CD,DISORDERLY,P151941402,1200 N CHARLES ST,"(39.3035501,-76.6163089)"
428,428,2015-07-13 12:54:00,Medium,CD,911/NO  VOICE,P151941403,0 E REDWOOD ST,"(39.2887924,-76.6145429)"
429,429,2015-07-13 12:49:00,Medium,CD,911/NO  VOICE,P151941404,300 W SARATOGA ST,"(39.2929052,-76.6197536)"
430,430,2015-07-13 12:53:00,Medium,SD,DISORDERLY,P151941405,600 S PACA ST,"(39.2834882,-76.6243065)"
431,431,2015-07-13 12:52:00,Medium,CD,911/NO  VOICE,P151941406,0 E REDWOOD ST,"(39.2887924,-76.6145429)"
432,432,2015-07-13 12:56:00,High,CD,Traffic Stop,P151941407,600 N EUTAW ST,"(39.2958410,-76.6215870)"
433,433,2015-07-13 12:53:00,Medium,ND,DISORDERLY,P151941408,2600 HAMPDEN AV,"(39.3182210,-76.6227080)"
434,434,2015-07-13 12:55:00,Low,ND,AUTO ACCIDENT,P151941409,400 E 33RD ST,"(39.3286538,-76.6106640)"
435,435,2015-07-13 12:56:00,Low,SW,HIT AND RUN,P151941410,700 DORCHESTER RD,"(39.2713540,-76.6939500)"
436,436,2015-07-13 12:57:00,High,NW,SILENT ALARM,P151941411,5600 JONQUIL AV,"(39.3509945,-76.6876505)"
437,437,2015-07-13 12:57:00,Medium,SD,BURGLARY,P151941412,500 SCOTT ST,"(39.2829562,-76.6288461)"
438,438,2015-07-13 12:59:00,Non-Emergency,ND,FOLLOW UP,P151941413,6000 READY AV,"(39.3662960,-76.6088940)"
439,439,2015-07-13 13:00:00,Non-Emergency,SE,Other,P151941414,2700 BOSTON ST,"(39.2796259,-76.5785027)"
440,440,2015-07-13 12:59:00,Low,CD,RECOVERED VEH,P151941415,N EUTAW ST/W LEXINGTON ST,"(39.291497,-76.621058)"
441,441,2015-07-13 12:59:00,Medium,ED,MENTAL CASE,P151941416,500 E PRESTON ST,"(39.3048077,-76.6092968)"
442,442,2015-07-13 12:58:00,Medium,SW,NARCOTICSOutside,P151941417,CLIFTON AV/N LONGWOOD ST,"(39.311224,-76.667684)"
443,443,2015-07-13 12:59:00,Medium,CD,AUTO THEFT,P151941418,200 N PACA ST,"(39.2918833,-76.6226802)"
444,444,2015-07-13 13:01:00,Medium,ED,911/NO  VOICE,P151941419,500 E PRESTON ST,"(39.3048077,-76.6092968)"
445,445,2015-07-13 12:59:00,Non-Emergency,SW,Repo,P151941420,500 S CATON AV,"(39.2787867,-76.6716395)"
446,446,2015-07-13 13:00:00,Medium,ED,FAMILY DISTURB,P151941421,2800 E MONUMENT ST,"(39.2990401,-76.5780319)"
447,447,2015-07-13 13:00:00,Low,WD,OTHER,P151941422,1900 W NORTH AV,"(39.3100225,-76.6482806)"
448,448,2015-07-13 13:01:00,Medium,CD,BURGLARY,P151941423,1100 SHIELDS PL,"(39.2975759,-76.6299743)"
449,449,2015-07-13 13:02:00,Medium,CD,DISORDERLY,P151941424,HARD ROCK CAFE,"(39.286664,-76.607712)"
450,450,2015-07-13 13:02:00,Medium,WD,911/NO  VOICE,P151941425,2500 W NORTH AV,"(39.3100039,-76.6587889)"
451,451,2015-07-13 13:01:00,Medium,CD,DISORDERLY,P151941426,700 DOLPHIN ST,"(39.2982040,-76.6318200)"
452,452,2015-07-13 13:01:00,Low,ND,RUNAWAY,P151941427,1900 N HOWARD ST,"(39.3116580,-76.6196800)"
453,453,2015-07-13 13:00:00,Low,NE,LARCENCY,P151941428,3500 HARFORD RD,"(39.3299106,-76.5818185)"
454,454,2015-07-13 13:03:00,Medium,SD,DISORDERLY,P151941429,1200 BLK RIVERSIDE AV,"(39.2762095,-76.6090666)"
455,455,2015-07-13 13:05:00,Medium,SD,SICK CASE,P151941430,S MONROE ST/LEMMON ST,"(39.285666,-76.646787)"
456,456,2015-07-13 13:06:00,High,SE,Traffic Stop,P151941431,100 N HIGHLAND AV,"(39.2937110,-76.5697579)"
457,457,2015-07-13 13:04:00,Medium,ND,BURGLARY,P151941432,2600 HAMPDEN AV,"(39.3182210,-76.6227080)"
458,458,2015-07-13 13:04:00,Medium,SW,911/NO  VOICE,P151941433,5300 POWHATAN AV,"(39.3218761,-76.6783408)"
459,459,2015-07-13 13:06:00,Medium,ND,911/NO  VOICE,P151941434,500 ILCHESTER AV,"(39.3228156,-76.6094588)"
460,460,2015-07-13 13:03:00,Low,NE,HIT AND RUN,P151941435,2800 ST LO DR,"(39.3189083,-76.5871675)"
461,461,2015-07-13 13:07:00,High,NE,RA POLICE,P151941436,6300 FERNBANK AV,"(39.3631050,-76.5659510)"
462,462,2015-07-13 13:07:00,Non-Emergency,SD,Repairs/Service,P151941437,ASCIATE,"(,)"
463,463,2015-07-13 13:07:00,Medium,CD,911/NO  VOICE,P151941439,200 N CALVERT ST,"(39.2912379,-76.6124711)"
464,464,2015-07-13 13:07:00,Medium,CD,DISORDERLY,P151941440,LIGHT ST/KEY HY,"(39.280877,-76.612774)"
465,465,2015-07-13 13:06:00,Low,ND,INVESTIGATE,P151941442,100 W 29TH ST,"(39.3231493,-76.6188892)"
466,466,2015-07-13 13:07:00,Medium,CD,AUTO THEFT,P151941443,W LEXINGTON ST/N EUTAW ST,"(39.291497,-76.621058)"
467,467,2015-07-13 13:05:00,Low,NW,INVESTIGATE,P151941444,4100 W COLD SPRING LN,"(39.3352480,-76.6876470)"
468,468,2015-07-13 13:10:00,High,ND,Traffic Stop,P151941446,4500 PIMLICO RD,"(39.3417370,-76.6665660)"
469,469,2015-07-13 13:09:00,Low,WD,DESTRUCT PROPTY,P151941447,1900 N FULTON AV,"(39.3102710,-76.6467580)"
470,470,2015-07-13 13:07:00,Low,SD,FALSE PRETENSE,P151941449,200 S WOODYEAR ST,"(39.2855389,-76.6386556)"
471,471,2015-07-13 13:09:00,Medium,NE,911/NO  VOICE,P151941450,5600 LOCH RAVEN BL,"(39.3242589,-76.6009401)"
472,472,2015-07-13 13:11:00,Non-Emergency,WD,Foot  Patrol,P151941451,N PAYSON ST/W NORTH AV,"(39.309748,-76.649901)"
473,473,2015-07-13 13:09:00,Medium,CD,911/NO  VOICE,P151941452,200 N EUTAW ST,"(39.2920360,-76.6218070)"
474,474,2015-07-13 13:11:00,Medium,NE,911/NO  VOICE,P151941453,600 WALPERT AV,"(39.3187751,-76.6064283)"
475,475,2015-07-13 13:06:00,Non-Emergency,NE,56,P151941454,4000 MAPLE SHADE DR,"(39.3108323,-76.5623673)"
476,476,2015-07-13 13:08:00,Non-Emergency,NW,LOST PROPERTY,P151941455,BROOKHILL RD/REISTERSTOWN RD,"(39.359610,-76.706982)"
477,477,2015-07-13 13:08:00,Low,NW,CK WELL BEING,P151941456,4100 BLK W COLD SPRING LN,"(39.3352480,-76.6876470)"
478,478,2015-07-13 13:12:00,Medium,CD,NARCOTICSOutside,P151941457,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
479,479,2015-07-13 13:12:00,Low,ED,OTHER,P151941459,500 E PRESTON ST,"(39.3048077,-76.6092968)"
480,480,2015-07-13 13:12:00,Medium,SD,COMMON ASSAULT,P151941460,W OSTEND ST/CARROLL ST,"(39.280906,-76.632914)"
481,481,2015-07-13 13:14:00,Non-Emergency,SD,SUPV COMPLAINT,P151941461,800 GLADE CT,"(39.2297497,-76.6009878)"
482,482,2015-07-13 13:14:00,Medium,WD,DISORDERLY,P151941462,900 APPLETON ST,"(39.2990570,-76.6486480)"
483,483,2015-07-13 13:15:00,Medium,ED,911/NO  VOICE,P151941464,500 E PRESTON ST,"(39.3048077,-76.6092968)"
484,484,2015-07-13 13:08:00,Low,CD,AUTO,P151941465,400 E BALTIMORE ST,"(39.2899730,-76.6100220)"
485,485,2015-07-13 13:16:00,Medium,SD,BURGLARY,P151941467,1000 S CAREY ST,"(39.2813801,-76.6363576)"
486,486,2015-07-13 13:15:00,High,NE,ARMED PERSON,P151941468,4000 PINEWOOD AV,"(39.3556040,-76.5328399)"
487,487,2015-07-13 13:10:00,Medium,ND,DISORDERLY,P151941469,2700 N CHARLES ST,"(39.3213688,-76.6177788)"
488,488,2015-07-13 13:16:00,Medium,NW,NARCOTICSOutside,P151941470,3700 BLK W BELVEDERE AV,"(39.3464230,-76.6805640)"
489,489,2015-07-13 13:17:00,Medium,CD,NARCOTICSOutside,P151941471,2000 N FOREST PARK AV,"(39.3094290,-76.7085520)"
490,490,2015-07-13 13:17:00,High,SW,Traffic Stop,P151941472,4300 PARKTON ST,"(39.2779588,-76.6865471)"
491,491,2015-07-13 13:15:00,Medium,CD,911/NO  VOICE,P151941473,800 EDMONDSON AV,"(39.2961646,-76.6308352)"
492,492,2015-07-13 13:16:00,Low,SD,DESTRUCT PROPTY,P151941474,200 E WELLS ST,"(39.2689828,-76.6100103)"
493,493,2015-07-13 13:17:00,Medium,SD,911/NO  VOICE,P151941475,4100 DORIS AV,"(39.2298010,-76.6030070)"
494,494,2015-07-13 13:13:00,Medium,NW,RECOVER PROPERTY,P151941476,3000 WOLCOTT AV,"(39.3209261,-76.6833910)"
495,495,2015-07-13 13:18:00,Medium,SD,911/NO  VOICE,P151941477,4100 DORIS AV,"(39.2298010,-76.6030070)"
496,496,2015-07-13 13:14:00,Medium,WD,NARCOTICSOutside,P151941478,1200 W NORTH AV,"(39.3104844,-76.6373145)"
497,497,2015-07-13 13:17:00,Low,NE,HIT AND RUN,P151941479,2700 ST LO DR,"(39.3187818,-76.5871623)"
498,498,2015-07-13 13:19:00,Low,NW,WANTED ON WARR,P151941480,NORTHWEST DISTRICT,"(39.349975,-76.693382)"
499,499,2015-07-13 13:20:00,Low,NW,WANTED ON WARR,P151941481,NORTHWEST DISTRICT,"(39.349975,-76.693382)"
500,500,2015-07-13 13:18:00,Low,NE,OTHER,P151941482,1100 E COLD SPRING LN,"(39.3451583,-76.5996398)"
501,501,2015-07-13 13:19:00,Medium,NW,NARCOTICSOutside,P151941483,3600 W COLD SPRING LN,"(39.3360335,-76.6754190)"
502,502,2015-07-13 13:21:00,Low,NW,WANTED ON WARR,P151941484,NORTHWEST DISTRICT,"(39.349975,-76.693382)"
503,503,2015-07-13 13:19:00,Medium,SD,BURGLARY,P151941485,1500 BATTERY AV,"(39.2725544,-76.6093790)"
504,504,2015-07-13 13:19:00,Low,CD,DWI,P151941486,W NORTH AV/LINDEN AV,"(39.310541,-76.632462)"
505,505,2015-07-13 13:17:00,Non-Emergency,NW,56,P151941487,4400 MAINE AV,"(39.3292420,-76.6919710)"
506,506,2015-07-13 13:19:00,Medium,WD,FAMILY DISTURB,P151941488,W NORTH AV/N FULTON AV,"(39.309885,-76.646503)"
507,507,2015-07-13 13:22:00,Medium,CW,Lab Request,P151941489,500 SCOTT ST,"(39.2829562,-76.6288461)"
508,508,2015-07-13 13:18:00,Medium,NE,COMMON ASSAULT,P151941490,5200 SINCLAIR LN,"(39.3228622,-76.5441376)"
509,509,2015-07-13 13:20:00,Medium,NE,FAMILY DISTURB,P151941492,1800 HOMESTEAD ST,"(39.3192097,-76.5928217)"
510,510,2015-07-13 13:24:00,High,CW,DEPTACCIDENT/INJ,P151941493,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
511,511,2015-07-13 13:22:00,Low,SD,OTHER,P151941494,1900 LIGHT ST,"(39.2683330,-76.6122649)"
512,512,2015-07-13 13:21:00,Medium,CD,AUTO THEFT,P151941495,1300 ST PAUL ST,"(39.3047610,-76.6146632)"
513,513,2015-07-13 13:22:00,Medium,ED,MISSING PERSON,P151941497,3000 E BIDDLE ST,"(39.3050420,-76.5756084)"
514,514,2015-07-13 13:25:00,High,SD,RA POLICE,P151941498,4100 DORIS AV,"(39.2298010,-76.6030070)"
515,515,2015-07-13 13:25:00,Medium,ED,911/NO  VOICE,P151941499,2200 JEFFERSON ST,"(39.2967530,-76.5863850)"
516,516,2015-07-13 13:23:00,Medium,ED,911/NO  VOICE,P151941500,500 E PRESTON ST,"(39.3048077,-76.6092968)"
517,517,2015-07-13 13:25:00,High,ED,AUTO ACC/INJURY,P151941501,400 E 22ND ST,"(39.3146670,-76.6110090)"
518,518,2015-07-13 13:21:00,Medium,NE,FALSE PRETENSE,P151941502,3000 ORLANDO AV,"(39.3672937,-76.5484409)"
519,519,2015-07-13 13:24:00,Low,NW,LARCENY F/AUTO,P151941503,5200 WABASH AV,"(39.3419882,-76.6866063)"
520,520,2015-07-13 16:28:00,Low,ED,CITIZEN ASSIST,P151942174,E FEDERAL ST/DUNCANWOOD LN,"(39.309109,-76.567319)"
521,521,2015-07-13 16:29:00,Medium,SE,INJURED PERSON,P151942175,3300 O'DONNELL ST,"(39.2806430,-76.5694501)"
522,522,2015-07-13 16:34:00,Medium,SD,911/NO  VOICE,P151942176,WHETSTONE WY/WOODALL ST,"(39.269956,-76.599356)"
523,523,2015-07-13 16:30:00,Low,SD,LARCENCY,P151942178,600 FREEMAN ST,"(39.2368721,-76.6020194)"
524,524,2015-07-13 16:34:00,High,SE,SILENT ALARM,P151942179,0 N MILTON AV,"(39.2920250,-76.5818911)"
525,525,2015-05-19 01:33:00,Medium,CW,Lab Request,P151390108,H0,"(38.1877274,-76.4306578)"
526,526,2015-07-13 13:30:00,Medium,NE,911/NO  VOICE,P151941521,5600 LOCH RAVEN BL,"(39.3242589,-76.6009401)"
527,527,2015-07-13 13:31:00,Low,CD,INVESTIGATE,P151941522,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
528,528,2015-07-13 13:32:00,Low,SD,Transport,P151941523,SOUTHERN DISTRICT,"(39.253253,-76.615524)"
529,529,2015-07-13 13:27:00,Medium,SW,JUV DISTURBANCE,P151941524,200 N HILTON ST,"(39.2887620,-76.6727830)"
530,530,2015-07-13 13:29:00,Medium,NE,DISORDERLY,P151941525,2800 BEECHLAND AV,"(39.3592620,-76.5615070)"
531,531,2015-07-13 13:29:00,Medium,NW,DISORDERLY,P151941526,3700 FERNHILL AV,"(39.3370850,-76.6781150)"
532,532,2015-07-13 13:32:00,Medium,ED,COMMON ASSAULT,P151941527,1100 BLK WILMOT CT,"(39.2993776,-76.6027574)"
533,533,2015-07-13 13:27:00,High,ED,AGGRAV ASSAULT,P151941529,1100 BLK WILMOT CT,"(39.2993776,-76.6027574)"
534,534,2015-07-13 13:28:00,Low,NW,AUTO ACCIDENT,P151941530,2500 VIOLET AV,"(39.3313936,-76.6578220)"
535,535,2015-07-13 13:31:00,Medium,SD,DISORDERLY,P151941531,COVINGTON ST/E HEATH ST,"(39.270787,-76.606543)"
536,536,2015-07-13 13:32:00,Medium,ND,AUTO ACCIDENT,P151941532,W NORTHERN PY/GREENSPRING AV,"(39.355017,-76.660457)"
537,537,2015-07-13 13:32:00,Low,ND,AUTO ACCIDENT,P151941533,CYLBURN AV/W NORTHERN PY,"(39.357477,-76.654873)"
538,538,2015-07-13 13:34:00,Non-Emergency,CD,Foot  Patrol,P151941534,1500-1700BLK PENNS,"(,)"
539,539,2015-07-13 13:34:00,Non-Emergency,CD,Foot  Patrol,P151941535,1500-1700BLK PENNS,"(,)"
540,540,2015-07-13 13:29:00,Non-Emergency,NE,SUPV COMPLAINT,P151941536,3100 RAVENWOOD AV,"(39.3153608,-76.5808845)"
541,541,2015-07-13 13:31:00,Non-Emergency,ND,Private Tow,P151941537,500 E 25TH ST,"(39.3181547,-76.6090045)"
542,542,2015-07-13 13:33:00,Medium,NE,911/NO  VOICE,P151941540,4300 HILLEN RD,"(39.3418475,-76.5873262)"
543,543,2015-07-13 13:29:00,Medium,SW,DISORDERLY,P151941541,3100 W NORTH AV,"(39.3093340,-76.6695320)"
544,544,2015-07-13 13:33:00,Low,NE,AUTO ACCIDENT,P151941542,5900 PULASKI HY,"(39.3023950,-76.5475770)"
545,545,2015-07-13 13:35:00,Medium,NW,911/NO  VOICE,P151941543,5900 PARK HEIGHTS AV,"(39.3558016,-76.6889025)"
546,546,2015-07-13 13:36:00,Medium,ND,DISORDERLY,P151941545,1200 SHERWOOD AV,"(39.3659299,-76.5923429)"
547,547,2015-07-13 13:35:00,Low,NW,HIT AND RUN,P151941547,6600 REISTERSTOWN RD,"(39.3567810,-76.7041418)"
548,548,2015-07-13 13:34:00,Low,SW,OTHER,P151941548,WINTERBOURNE RD/MORRIS RD,"(39.306188,-76.674335)"
549,549,2015-07-13 13:37:00,Medium,NW,BURGLARY,P151941549,3700 GWYNN OAK AV,"(39.3333420,-76.6951710)"
550,550,2015-07-13 13:32:00,Medium,NE,COMMON ASSAULT,P151941550,4800 SINCLAIR LN,"(39.3201486,-76.5521577)"
551,551,2015-07-13 13:34:00,High,ND,AUTO ACC/INJURY,P151941551,CYLBURN AV/W NORTHERN PY,"(39.357477,-76.654873)"
552,552,2015-07-13 13:37:00,Medium,SW,BURGLARY,P151941552,300 ALLENDALE ST,"(39.2908370,-76.6784870)"
553,553,2015-07-13 13:37:00,Medium,SD,911/NO  VOICE,P151941553,1900 LIGHT ST,"(39.2683330,-76.6122649)"
554,554,2015-07-13 13:39:00,Medium,SW,911/NO  VOICE,P151941556,700 POPLAR GROVE ST,"(39.2956120,-76.6653450)"
555,555,2015-07-13 13:35:00,Medium,SW,BURGLARY,P151941557,300 ALLENDALE ST,"(39.2908370,-76.6784870)"
556,556,2015-07-13 13:41:00,Non-Emergency,CD,LOST PROPERTY,P151941559,0 E FAYETTE ST,"(39.2903964,-76.6145354)"
557,557,2015-07-13 13:38:00,Medium,NW,COMMON ASSAULT,P151941560,3100 TOWANDA AV,"(39.3215670,-76.6586630)"
558,558,2015-07-13 13:40:00,Low,NW,DESTRUCT PROPTY,P151941561,5500 WESLEY AV,"(39.3326790,-76.7064650)"
559,559,2015-07-13 13:41:00,Medium,SW,MISSING PERSON,P151941563,3500 EDMONDSON AV,"(39.2943489,-76.6758430)"
560,560,2015-07-13 13:42:00,High,SW,RA POLICE,P151941564,3000 W LANVALE ST,"(39.2971815,-76.6672415)"
561,561,2015-07-13 13:37:00,High,SD,ARMED PERSON,P151941565,S FULTON AV/WILKENS AV,"(39.282593,-76.644875)"
562,562,2015-07-13 13:41:00,Low,CD,DESTRUCT PROPTY,P151941566,400 ORCHARD ST,"(39.2990186,-76.6219716)"
563,563,2015-07-13 13:41:00,Medium,ND,BURGLARY,P151941567,2700 MANHATTAN AV,"(39.3586120,-76.6740760)"
564,564,2015-07-13 13:43:00,Non-Emergency,WD,Court,P151941570,CIRCUIT CRT,"(39.290431,-76.612477)"
565,565,2015-07-13 13:43:00,Medium,NW,911/NO  VOICE,P151941571,3000 DRUID PARK DR,"(39.3238608,-76.6610767)"
566,566,2015-07-13 13:43:00,Non-Emergency,NW,LOST PROPERTY,P151941572,3600 MILFORD AV,"(39.3329857,-76.7006157)"
567,567,2015-07-13 13:45:00,Low,ED,OTHER,P151941573,2400 BLK GREENMOUNT AV,"(39.3163780,-76.6097740)"
568,568,2015-07-13 13:41:00,Medium,ND,NARCOTICSOutside,P151941574,E NORTHERN PY/YORK RD,"(39.365138,-76.609920)"
569,569,2015-07-13 13:42:00,Medium,ED,NARCOTICS INSIDE,P151941575,2800 E FEDERAL ST,"(39.3093812,-76.5788560)"
570,570,2015-07-13 13:40:00,High,WD,AUTO ACC/INJURY,P151941576,EDMONDSON AV/N FRANKLINTOWN RD,"(39.294468,-76.663321)"
571,571,2015-07-13 13:44:00,Low,TRU,LARCENCY,P151941577,1900 S CHARLES ST,"(39.2678829,-76.6141695)"
572,572,2015-07-13 13:42:00,Medium,NE,SUSPICIOUS PERS,P151941578,6800 HARFORD RD,"(39.3647593,-76.5511622)"
573,573,2015-07-13 13:42:00,Non-Emergency,SS,SUPV COMPLAINT,P151941579,3000 WYLIE AV,"(39.3421154,-76.6652286)"
574,574,2015-07-13 13:44:00,Medium,SE,BURGLARY,P151941580,100 N MONTFORD AV,"(39.2930783,-76.5833842)"
575,575,2015-07-13 13:45:00,Medium,ND,DISORDERLY,P151941582,N CALVERT ST/E 0RD ST,"(39.328270,-76.614901)"
576,576,2015-07-13 13:45:00,Medium,ND,NARCOTICSOutside,P151941583,5100 YORK RD,"(39.3504020,-76.6102140)"
577,577,2015-07-13 13:44:00,Low,NE,HIT AND RUN,P151941584,2800 ST LO DR,"(39.3189083,-76.5871675)"
578,578,2015-07-13 13:45:00,High,WD,ARMED PERSON,P151941585,N FULTON AV/W NORTH AV,"(39.309894,-76.646364)"
579,579,2015-07-13 13:46:00,Medium,ED,911/NO  VOICE,P151941586,300 N GAY ST,"(39.2940575,-76.6081374)"
580,580,2015-07-13 13:43:00,Medium,SE,DISORDERLY,P151941587,1200 GUSRYAN ST,"(39.2804039,-76.5404387)"
581,581,2015-07-13 13:46:00,Low,SD,LARCENCY,P151941588,1500 RUSSELL ST,"(39.2744610,-76.6278710)"
582,582,2015-07-13 13:48:00,Medium,SW,911/NO  VOICE,P151941589,500 N ATHOL AV,"(39.2923579,-76.6893446)"
583,583,2015-07-13 13:47:00,Medium,NW,BURGLARY,P151941590,3700 GWYNN OAK AV,"(39.3333420,-76.6951710)"
584,584,2015-07-13 13:49:00,Medium,SE,911/NO  VOICE,P151941592,1600 S HIGHLAND AV,"(39.2739109,-76.5684232)"
585,585,2015-07-13 13:46:00,Non-Emergency,SS,SUPV COMPLAINT,P151941593,800 AISQUITH ST,"(39.2991533,-76.6019534)"
586,586,2015-07-13 13:50:00,High,SW,Traffic Stop,P151941594,0 N WOODINGTON RD,"(39.2871664,-76.6868295)"
587,587,2015-07-13 13:50:00,High,CD,Traffic Stop,P151941595,N MARTIN LUTHER KING JR BL/N HOWARD ST,"(39.301750,-76.620306)"
588,588,2015-07-13 13:50:00,Medium,CD,911/NO  VOICE,P151941596,0 S GREENE ST,"(39.2885206,-76.6236639)"
589,589,2015-07-13 13:48:00,Medium,CD,FAMILY DISTURB,P151941597,N PACA ST/W LEXINGTON ST,"(39.291440,-76.622422)"
590,590,2015-07-13 13:49:00,Low,WD,UNKNOWN TROUBLE,P151941598,2500 W NORTH AV,"(39.3100039,-76.6587889)"
591,591,2015-07-13 13:50:00,Medium,ED,FAMILY DISTURB,P151941599,1900 KENNEDY AV,"(39.3121320,-76.6044760)"
592,592,2015-07-13 13:51:00,Low,CD,INVESTIGATE,P151941600,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
593,593,2015-07-13 13:51:00,High,NE,SILENT ALARM,P151941601,5100 DARIEN RD,"(39.3243793,-76.5312713)"
594,594,2015-07-13 13:52:00,Non-Emergency,WD,Repairs/Service,P151941602,3800 E BIDDLE ST,"(39.3065039,-76.5662480)"
595,595,2015-07-13 13:51:00,Medium,CD,911/NO  VOICE,P151941603,0 S GREENE ST,"(39.2885206,-76.6236639)"
596,596,2015-07-13 13:50:00,Low,SE,INVESTIGATE,P151941604,3100 JEFFERSON ST,"(39.2971172,-76.5729390)"
597,597,2015-07-13 13:55:00,High,CD,Traffic Stop,P151941607,500 BLK LAURENS ST,"(39.3059164,-76.6334377)"
598,598,2015-07-13 13:55:00,Non-Emergency,NE,Repairs/Service,P151941608,3800 E BIDDLE ST,"(39.3065039,-76.5662480)"
599,599,2015-07-13 13:51:00,Medium,SW,NARCOTICSOutside,P151941609,POPLAR GROVE ST/PROSPECT ST,"(39.298627,-76.665148)"
600,600,2015-07-13 13:55:00,Non-Emergency,SW,Repairs/Service,P151941611,3800 E BIDDLE ST,"(39.3065039,-76.5662480)"
601,601,2015-07-13 13:52:00,Medium,SE,911/NO  VOICE,P151941612,1600 S HIGHLAND AV,"(39.2739109,-76.5684232)"
602,602,2015-07-13 13:56:00,High,NE,Traffic Stop,P151941613,5000 HARFORD RD,"(39.3473836,-76.5659404)"
603,603,2015-07-13 13:53:00,Medium,SE,911/NO  VOICE,P151941614,3500 CLAREMONT ST,"(39.2896620,-76.5682070)"
604,604,2015-07-13 13:54:00,Medium,NW,BURGLARY,P151941616,3700 GWYNN OAK AV,"(39.3333420,-76.6951710)"
605,605,2015-07-13 13:56:00,Medium,SD,911/NO  VOICE,P151941617,4100 6TH ST,"(39.2303090,-76.6029760)"
606,606,2015-07-13 13:57:00,High,WD,Traffic Stop,P151941618,W BALTIMORE ST/N GILMOR ST,"(39.288368,-76.642388)"
607,607,2015-07-13 13:52:00,Low,ND,CHECK WELL BEING,P151941619,1300 MORLING AV,"(39.3342880,-76.6380410)"
608,608,2015-07-13 13:58:00,Medium,SD,911/NO  VOICE,P151941621,4100 DORIS AV,"(39.2298010,-76.6030070)"
609,609,2015-07-13 13:57:00,Medium,SE,911/NO  VOICE,P151941622,3400 EASTERN AV,"(39.2867760,-76.5688840)"
610,610,2015-07-13 13:59:00,Medium,NW,BURGLARY,P151941623,3300 W GARRISON AV,"(39.3467220,-76.6748285)"
611,611,2015-07-13 14:36:00,High,WD,Traffic Stop,P151941745,APPLETON ST/EDMONDSON AV,"(39.295121,-76.648190)"
612,612,2015-07-13 14:35:00,Medium,SD,911/NO  VOICE,P151941746,2400 NEVADA ST,"(39.2627812,-76.6379365)"
613,613,2015-07-13 14:36:00,Medium,NW,911/NO  VOICE,P151941747,3300 W COLD SPRING LN,"(39.3366870,-76.6746129)"
614,614,2015-07-13 14:31:00,Medium,ND,DISORDERLY,P151941748,2100 ST PAUL ST,"(39.3134000,-76.6154330)"
615,615,2015-07-13 14:37:00,Non-Emergency,SD,Foot  Patrol,P151941749,4100 HYDEN CT,"(39.2280129,-76.5980314)"
616,616,2015-07-13 14:35:00,Medium,NE,BURGLARY,P151941750,1600 CHILTON ST,"(39.3277460,-76.5941250)"
617,617,2015-07-13 14:35:00,Medium,SW,AUTO ACCIDENT,P151941751,EDMONDSON AV/WILDWOOD PY,"(39.293782,-76.683925)"
